序号,Y营销策略的影响程度,X1(商品质量),X2(商品独特性),X3(商品影响力),X4(商品性价比),X5(促销活动吸引力),X6(商品福利),X7(互动程度),X8(平台口碑),X9(平台规则完善度)
1,4,3,2,2,4,4,2,5,1,2
2,4,3,5,5,3,3,3,3,3,3
3,3,3,5,5,3,3,3,3,1,5
4,4,5,4,4,5,4,5,1,3,3
5,3,3,3,2,3,3,3,5,4,4
6,4,3,3,3,4,4,3,3,2,5
7,3,3,4,4,3,3,3,3,2,2
8,3,3,4,4,3,3,3,3,5,5
9,2,2,1,1,2,2,2,3,2,2
10,3,3,4,4,3,3,2,3,4,4
11,1,2,3,3,2,2,2,1,2,2
12,2,2,3,3,2,2,2,2,3,3
13,5,5,3,3,5,5,5,4,4,4
14,4,4,4,4,4,4,4,4,5,3
15,5,5,4,4,5,5,5,4,4,4
16,4,4,4,2,4,4,4,4,3,3
17,4,4,3,3,4,4,4,4,2,2
18,5,5,3,3,5,5,5,4,3,3
19,2,2,2,2,2,2,2,2,1,1
20,4,4,5,5,4,4,4,4,3,3
21,3,3,4,4,3,3,3,4,1,1
22,4,4,3,3,4,4,4,4,5,5
23,4,3,5,5,4,4,3,3,2,2
24,3,3,2,2,3,3,3,2,2,2
25,5,4,4,4,4,4,4,4,1,1
26,5,5,4,4,5,5,3,5,3,3
27,3,3,4,4,3,3,3,4,1,1
28,4,4,4,4,4,4,4,5,3,3
29,5,5,3,3,5,5,5,4,3,3
30,4,4,5,5,4,4,4,4,1,1
31,2,2,3,3,2,2,2,1,1,1
32,4,3,4,4,3,3,3,3,3,3
33,5,5,3,3,5,5,5,4,1,4
34,3,3,3,4,3,3,3,3,4,4
35,5,5,3,3,5,5,5,4,3,3
36,5,3,3,3,3,5,3,4,2,2
37,4,3,5,5,3,4,3,3,2,4
38,5,5,2,2,5,5,5,5,3,3
39,2,2,2,2,2,2,2,2,4,4
40,3,3,4,4,3,3,3,3,3,3
41,2,2,2,2,2,2,2,4,4,4
42,4,4,4,4,4,4,4,3,5,5
43,5,5,3,3,5,5,5,3,2,2
44,3,3,4,4,3,3,1,3,4,4
45,5,5,3,3,5,5,5,5,4,4
46,3,3,5,5,3,3,3,4,5,5
47,5,3,4,4,5,5,3,5,3,3
48,3,3,4,4,3,3,3,3,5,3
49,3,3,4,4,3,3,3,4,4,4
50,3,3,4,4,3,3,3,3,5,5
51,3,3,5,5,3,3,3,4,4,4
52,5,5,2,2,5,5,5,4,2,2
53,4,4,3,3,4,4,4,3,3,3
54,5,5,4,4,5,5,5,4,3,3
55,4,3,3,3,3,3,3,5,1,1
56,3,3,4,4,3,3,3,4,4,4
57,4,4,5,5,4,4,4,3,3,3
58,4,3,4,3,3,3,3,4,5,5
59,4,4,5,5,4,4,4,5,3,3
60,5,5,3,3,5,5,5,4,2,2
61,5,5,4,4,5,5,5,4,4,4
62,4,4,3,3,4,4,4,4,5,5
63,5,3,3,3,3,5,3,4,4,4
64,5,5,3,3,5,5,5,3,1,1
65,3,2,3,3,3,3,1,5,1,5
66,5,2,3,3,2,5,2,4,4,4
67,2,2,1,1,2,2,2,3,4,2
68,1,1,4,4,1,1,1,5,1,1
69,3,3,4,4,3,3,3,4,4,4
70,5,5,3,3,5,5,5,4,1,1
71,3,3,5,5,3,3,3,4,4,4
72,1,1,3,3,1,1,1,2,3,3
73,2,2,3,3,2,2,2,2,2,2
74,4,4,3,3,4,4,4,3,4,4
75,1,1,2,2,1,1,1,2,5,5
76,2,2,1,1,2,2,2,2,4,4
77,3,3,4,4,3,3,3,4,4,4
78,3,1,2,2,3,3,1,1,1,3
79,5,5,1,3,5,5,4,5,4,4
80,3,3,5,5,3,3,3,3,2,2
81,5,5,4,4,5,5,5,4,2,2
82,5,5,2,2,5,5,5,3,4,4
83,3,3,2,2,3,3,3,1,2,2
84,3,3,3,3,3,3,3,2,5,2
85,4,4,4,2,4,4,4,3,4,4
86,5,5,4,4,5,5,5,3,2,2
87,4,4,5,5,4,4,4,4,1,1
88,4,4,4,2,4,4,4,4,2,4
89,4,2,5,5,2,4,2,3,2,2
90,5,3,5,5,4,4,3,4,4,4
91,4,4,5,5,4,4,4,4,2,2
92,4,3,3,3,3,3,3,3,1,4
93,3,3,4,4,3,3,3,5,5,5
94,4,4,4,1,4,4,4,3,5,5
95,4,4,4,4,4,4,4,4,2,4
96,5,5,3,3,5,5,5,4,4,4
97,3,3,4,4,3,3,3,3,3,3
98,4,4,4,4,4,4,2,4,3,3
99,1,1,2,2,1,1,1,2,2,2
100,1,1,2,3,1,1,1,2,4,1
101,4,4,3,3,4,4,4,5,1,4
102,4,4,3,3,4,4,4,4,3,3
103,5,5,5,5,5,5,5,4,3,3
104,4,4,3,3,4,4,4,3,5,5
105,3,3,2,2,3,3,3,2,1,3
106,3,3,1,1,3,3,3,2,2,2
107,4,4,4,4,4,4,4,3,1,4
108,4,4,3,3,4,4,4,2,2,2
109,4,2,4,2,3,3,2,3,3,3
110,5,5,4,4,5,5,5,3,5,5
111,3,3,5,5,3,3,3,4,3,3
112,3,3,2,2,3,3,3,2,2,2
113,3,3,4,4,3,3,3,4,5,5
114,3,3,4,4,3,3,3,4,4,4
115,4,4,3,3,4,4,4,3,3,3
116,5,5,5,3,5,5,5,4,3,3
117,5,4,4,4,4,4,4,5,4,4
118,1,1,1,1,1,1,1,4,3,3
119,4,3,4,4,3,4,3,4,5,5
120,4,4,4,2,4,4,3,4,1,5
121,5,5,3,3,5,5,5,4,4,4
122,3,3,1,1,3,3,3,1,2,2
123,5,5,4,4,5,5,5,4,2,2
124,4,4,5,5,4,4,4,5,4,4
125,1,1,1,3,1,1,1,3,3,3
126,2,2,1,1,2,2,2,5,5,2
127,3,3,4,4,3,3,3,4,5,5
128,4,4,4,1,4,4,4,4,3,3
129,3,3,4,4,3,3,3,5,1,1
130,5,5,3,3,5,5,5,4,1,5
131,5,5,4,4,5,5,5,4,3,3
132,3,3,3,3,3,3,3,4,1,1
133,2,1,3,3,1,1,1,2,3,3
134,4,3,4,4,3,4,3,4,5,5
135,5,5,5,2,5,5,5,4,3,3
136,4,4,3,3,4,4,4,4,5,5
137,3,3,4,4,3,3,3,4,1,3
138,5,5,4,4,5,5,2,5,1,3
139,3,1,4,4,3,3,1,3,1,3
140,5,5,3,3,5,5,5,4,2,2
141,4,4,4,4,4,4,4,3,4,4
142,3,3,5,5,3,3,3,4,3,3
143,5,4,4,4,4,4,4,4,4,4
144,4,4,4,4,4,4,4,5,5,5
145,4,4,4,2,4,4,4,4,2,4
146,3,3,3,3,3,3,3,4,3,3
147,5,5,4,4,5,5,5,4,4,4
148,3,3,2,2,3,3,3,3,2,2
149,4,4,3,3,4,4,4,3,1,5
150,4,4,4,4,4,4,3,4,2,2
151,4,4,4,4,4,4,4,4,3,3
152,4,4,4,4,4,4,4,4,4,4
153,1,1,2,2,1,1,1,2,2,2
154,4,3,4,4,3,3,3,4,1,1
155,4,4,4,4,4,4,4,3,3,3
156,5,5,4,4,5,5,5,4,1,5
157,3,4,3,3,3,3,4,5,4,4
158,3,3,1,1,3,3,3,3,1,1
159,5,5,4,4,5,5,5,4,4,4
160,5,5,3,3,5,5,5,4,1,1
161,5,5,4,2,5,5,5,4,2,2
162,5,5,5,5,5,5,5,3,4,4
163,2,2,2,2,2,2,2,2,1,2
164,3,3,5,5,3,3,3,5,2,3
165,4,4,4,4,4,4,4,5,4,4
166,3,2,5,5,2,2,2,2,2,2
167,3,3,4,4,3,3,3,3,1,1
168,4,4,4,4,4,4,2,5,3,3
169,5,5,4,4,5,5,5,4,4,4
170,3,2,4,4,2,3,2,4,2,2
171,4,4,3,3,4,4,4,5,5,5
172,4,4,4,4,4,4,4,3,1,1
173,4,4,5,5,4,4,4,5,5,5
174,4,3,5,5,3,4,3,5,3,3
175,5,5,4,4,5,5,5,4,4,4
176,4,3,5,5,3,4,3,3,1,1
177,3,3,1,1,3,3,3,2,3,3
178,4,4,4,4,4,4,4,4,4,4
179,5,5,4,4,5,5,5,3,4,4
180,4,4,4,3,4,4,4,1,2,5
181,3,3,4,4,3,3,3,3,4,4
182,3,3,3,3,3,3,3,3,2,2
183,3,3,1,1,3,3,3,4,2,2
184,4,2,3,3,4,4,2,5,3,3
185,3,3,4,4,3,3,2,5,4,4
186,2,2,3,3,2,2,2,1,1,1
187,2,2,4,4,2,2,2,4,1,1
188,5,5,4,4,5,5,5,4,3,3
189,3,3,2,2,3,3,3,2,2,2
190,4,3,4,4,3,3,3,5,5,5
191,4,4,4,4,4,4,4,5,2,2
192,4,4,5,5,4,4,4,3,3,3
193,1,1,1,1,1,1,1,3,4,4
194,4,4,4,4,4,4,4,3,1,4
195,3,3,4,4,3,3,3,5,5,5
196,5,5,5,5,5,5,5,5,3,3
197,3,3,3,3,3,3,3,5,5,5
198,4,4,5,5,4,4,4,3,2,2
199,4,4,3,3,4,4,4,4,3,3
200,3,3,3,3,3,3,3,1,2,2
201,3,3,4,4,3,3,3,4,4,4
202,2,1,2,2,1,1,1,3,1,1
203,3,3,5,5,3,3,1,3,5,5
204,4,4,4,4,4,4,4,4,1,1
205,3,3,2,2,3,3,3,2,1,1
206,4,4,3,3,4,4,4,4,2,2
207,3,3,3,3,3,3,3,4,4,4
208,3,3,4,4,3,3,3,3,2,2
209,4,2,5,5,2,4,2,4,2,4
210,5,5,4,4,5,5,5,3,4,4
211,2,3,3,3,2,2,3,3,3,3
212,2,2,3,3,2,2,2,2,1,1
213,5,4,5,5,4,5,4,4,3,3
214,4,4,4,4,4,4,4,5,1,1
215,4,4,4,4,4,4,4,5,3,3
216,2,2,3,3,2,2,2,5,5,5
217,4,4,4,4,4,4,2,4,1,1
218,3,3,2,2,3,3,3,3,3,3
219,4,4,4,4,4,4,4,4,5,5
220,1,1,3,3,1,1,1,2,2,2
221,2,2,1,1,2,2,2,2,5,5
222,3,3,2,2,3,3,3,2,1,5
223,3,2,2,2,2,2,2,2,1,1
224,3,3,5,5,3,3,3,3,1,3
225,3,3,3,3,3,3,3,3,5,5
226,4,4,4,4,4,4,4,4,2,2
227,5,5,5,5,5,5,5,5,3,3
228,4,4,3,3,4,4,4,2,3,3
229,5,4,4,4,4,5,4,4,1,5
230,5,5,3,3,5,5,5,4,4,4
231,5,5,4,4,5,5,5,5,2,4
232,3,3,4,4,3,3,3,3,1,1
233,4,3,3,3,3,3,3,3,1,1
234,2,2,2,2,2,2,2,3,3,2
235,4,4,5,5,4,4,4,4,3,3
236,3,3,4,4,3,3,3,5,5,5
237,3,3,4,4,3,3,3,3,4,4
238,5,4,4,4,5,5,4,3,2,2
239,3,3,3,3,3,3,3,3,4,4
240,2,1,2,2,1,2,3,2,5,5
241,3,3,4,4,3,3,3,3,4,4
242,4,4,3,3,4,4,4,4,5,5
243,4,4,3,3,4,4,4,4,1,1
244,2,2,1,1,2,2,2,1,3,3
245,4,4,5,5,4,4,4,4,3,3
246,4,4,3,3,4,4,4,3,1,1
247,4,4,5,5,4,4,4,4,3,3
248,5,5,5,5,5,5,5,4,3,3
249,4,4,3,3,4,4,4,4,1,3
250,4,4,2,2,4,4,4,2,2,2
251,3,3,3,3,3,3,3,3,4,4
252,4,4,4,2,4,4,4,5,3,3
253,4,4,3,3,4,4,4,5,1,1
254,5,5,4,4,5,5,2,5,4,4
255,5,5,3,3,5,5,5,4,2,5
256,4,4,4,4,4,4,4,4,2,2
257,2,2,2,2,2,2,2,2,5,5
258,3,3,4,4,3,3,3,4,4,4
259,3,3,3,3,3,3,3,3,4,4
260,5,5,2,2,5,5,5,5,1,1
261,1,1,5,5,1,1,1,2,3,3
262,2,4,3,3,4,2,4,1,5,5
263,3,4,3,3,4,3,4,3,1,1
264,2,2,1,1,2,2,2,2,1,1
265,3,2,5,5,3,3,2,4,4,4
266,3,3,3,3,3,3,3,4,5,5
267,4,4,4,4,4,4,5,4,1,5
268,5,2,5,2,2,5,2,3,4,4
269,3,4,5,5,4,4,4,4,1,4
270,5,5,4,4,5,5,5,4,3,3
271,4,2,5,5,2,2,2,5,3,3
272,3,2,3,3,2,3,2,3,5,5
273,3,3,4,4,3,3,3,3,1,5
274,3,3,4,4,3,3,3,4,4,4
275,4,4,5,5,4,4,4,3,2,2
276,5,5,3,3,5,5,5,5,3,3
277,4,4,4,4,4,4,4,3,5,5
278,5,5,4,4,5,5,5,4,2,5
279,3,3,1,1,3,3,3,3,2,2
280,3,3,4,4,3,3,3,4,1,1
281,4,4,4,2,4,4,4,3,1,1
282,3,3,3,3,3,3,2,4,4,4
283,3,3,4,4,3,3,3,4,3,3
284,2,2,2,2,2,2,2,2,5,1
285,4,4,5,5,4,4,4,5,1,5
286,4,4,4,4,4,4,4,4,2,1
287,4,4,4,4,4,4,4,4,3,3
288,5,5,4,4,5,5,5,3,4,4
289,2,2,3,3,2,2,2,2,1,1
290,4,1,4,4,4,4,1,5,1,1
291,4,3,4,4,3,4,3,3,4,4
292,5,5,3,3,5,5,5,4,3,3
293,3,3,4,4,3,3,3,4,3,3
294,4,4,4,4,4,4,4,4,4,4
295,3,3,4,4,3,3,3,4,5,5
296,5,5,4,4,5,5,5,5,4,4
297,4,4,5,5,4,4,4,4,3,3
298,3,3,4,4,3,3,3,4,5,5
299,3,3,3,3,3,3,3,3,1,1
300,2,1,2,2,1,2,1,2,3,3
301,4,4,5,5,4,4,4,4,2,4
302,3,3,5,5,3,3,3,4,1,5
303,3,3,5,5,3,3,4,3,5,5
304,4,4,5,5,4,4,4,4,3,3
305,4,4,4,3,4,4,4,5,1,1
306,3,3,4,4,3,3,3,4,5,5
307,3,3,4,4,3,3,3,3,4,4
308,5,5,1,1,5,5,5,5,1,1
309,2,4,2,2,4,4,4,1,3,3
310,5,5,3,3,5,5,5,4,4,4
311,1,1,2,2,1,1,1,3,3,3
312,4,3,4,4,3,3,3,5,5,5
313,5,4,5,5,5,5,4,3,2,2
314,3,3,2,2,3,3,3,2,2,2
315,3,3,3,3,3,3,3,5,5,5
316,4,4,4,4,4,4,4,4,3,3
317,4,4,4,4,4,4,4,3,3,3
318,4,4,4,2,4,4,4,4,1,4
319,3,3,4,4,3,3,3,5,2,5
320,3,3,4,4,3,3,3,3,4,4
321,4,4,4,4,4,4,4,5,3,3
322,2,2,1,1,2,2,2,3,2,2
323,4,4,3,3,4,4,4,4,1,1
324,3,3,4,4,3,3,3,4,3,3
325,2,2,3,3,2,2,2,3,3,3
326,4,4,3,3,4,4,4,5,2,4
327,4,3,4,4,3,4,1,3,4,4
328,3,3,3,3,3,3,3,3,1,5
329,3,3,1,1,3,3,3,3,2,2
330,2,2,2,2,2,2,2,2,1,1
331,4,4,4,4,4,4,4,4,5,5
332,4,4,4,4,4,4,4,4,4,4
333,1,2,2,2,2,1,2,3,1,1
334,3,3,3,3,3,3,3,5,4,4
335,1,1,1,3,1,1,1,5,2,2
336,3,3,4,4,3,3,2,4,5,5
337,4,4,4,4,4,4,4,3,3,3
338,3,3,3,3,3,3,3,3,2,2
339,3,3,5,5,3,3,3,4,4,4
340,4,4,3,3,4,4,4,5,1,1
341,3,3,3,3,3,3,3,3,5,5
342,3,3,3,3,3,3,3,3,5,5
343,3,3,5,5,3,3,3,3,4,4
344,5,5,5,5,5,5,5,5,3,3
345,4,4,4,4,4,4,4,3,1,4
346,3,3,3,3,3,3,3,4,4,4
347,3,4,3,3,4,3,4,3,2,2
348,4,4,4,4,4,4,4,5,5,5
349,4,4,5,5,4,4,4,3,1,5
350,4,4,4,3,4,4,4,4,2,2
351,3,3,1,1,3,3,3,2,2,2
352,5,5,4,4,5,5,2,5,1,3
353,5,2,4,4,2,5,2,4,3,3
354,3,2,3,2,3,3,2,4,1,4
355,1,1,5,5,1,1,2,5,4,4
356,2,1,3,3,1,1,1,1,3,2
357,3,2,5,5,2,3,2,3,1,1
358,1,2,2,2,2,2,2,5,3,3
